UNDETEK.EXE — Full Decompiled Source Manifest
======================================================================

Address            Category         Resolved Name                                 Ghidra Name
------------------------------------------------------------------------------------------------------------------------
0x140001000        obfuscation      FUN_140001000                                 FUN_140001000
0x140001050        obfuscation      FUN_140001050                                 FUN_140001050
0x1400010b0        obfuscation      FUN_1400010b0                                 FUN_1400010b0
0x140001110        obfuscation      FUN_140001110                                 FUN_140001110
0x140001130        obfuscation      FUN_140001130                                 FUN_140001130
0x140001150        obfuscation      FUN_140001150                                 FUN_140001150
0x140001170        obfuscation      FUN_140001170                                 FUN_140001170
0x140001190        obfuscation      FUN_140001190                                 FUN_140001190
0x1400011b0        obfuscation      FUN_1400011b0                                 FUN_1400011b0
0x1400011d0        obfuscation      FUN_1400011d0                                 FUN_1400011d0
0x1400011f0        obfuscation      FUN_1400011f0                                 FUN_1400011f0
0x140001210        obfuscation      FUN_140001210                                 FUN_140001210
0x140001230        obfuscation      FUN_140001230                                 FUN_140001230
0x140001250        obfuscation      FUN_140001250                                 FUN_140001250
0x140001270        obfuscation      FUN_140001270                                 FUN_140001270
0x140001290        obfuscation      FUN_140001290                                 FUN_140001290
0x1400012b0        obfuscation      FUN_1400012b0                                 FUN_1400012b0
0x1400012d0        obfuscation      FUN_1400012d0                                 FUN_1400012d0
0x1400012f0        obfuscation      FUN_1400012f0                                 FUN_1400012f0
0x140001310        obfuscation      FUN_140001310                                 FUN_140001310
0x140001330        obfuscation      FUN_140001330                                 FUN_140001330
0x140001350        obfuscation      FUN_140001350                                 FUN_140001350
0x140001370        obfuscation      FUN_140001370                                 FUN_140001370
0x140001390        obfuscation      FUN_140001390                                 FUN_140001390
0x1400013b0        obfuscation      FUN_1400013b0                                 FUN_1400013b0
0x1400013d0        obfuscation      FUN_1400013d0                                 FUN_1400013d0
0x1400013f0        obfuscation      FUN_1400013f0                                 FUN_1400013f0
0x140001410        obfuscation      FUN_140001410                                 FUN_140001410
0x140001430        obfuscation      FUN_140001430                                 FUN_140001430
0x140001450        obfuscation      FUN_140001450                                 FUN_140001450
0x140001470        obfuscation      FUN_140001470                                 FUN_140001470
0x140001490        obfuscation      FUN_140001490                                 FUN_140001490
0x1400014b0        obfuscation      FUN_1400014b0                                 FUN_1400014b0
0x140001540        obfuscation      FUN_140001540                                 FUN_140001540
0x1400015d0        obfuscation      FUN_1400015d0                                 FUN_1400015d0
0x140001660        obfuscation      FUN_140001660                                 FUN_140001660
0x1400016f0        obfuscation      FUN_1400016f0                                 FUN_1400016f0
0x140001780        obfuscation      FUN_140001780                                 FUN_140001780
0x140001810        obfuscation      FUN_140001810                                 FUN_140001810
0x1400018a0        obfuscation      FUN_1400018a0                                 FUN_1400018a0
